2026-07-02 10:36:56 | INFO     | services.bot_service | [BOT] Mensagens carregadas: pt, en
2026-07-02 10:36:56 | INFO     | utils.network_info | ============================================================
2026-07-02 10:36:56 | INFO     | utils.network_info | [REDE] IP do servidor: 192.168.15.40
2026-07-02 10:36:56 | INFO     | utils.network_info | [REDE] Protocolo de transporte: TCP/IP
2026-07-02 10:36:56 | INFO     | utils.network_info | [REDE] WhatsApp: HTTPS via Twilio  → TCP porta 443
2026-07-02 10:36:56 | INFO     | utils.network_info | [REDE] Telegram: HTTPS via Bot API  → TCP porta 443 (polling)
2026-07-02 10:36:56 | INFO     | utils.network_info | [REDE] Webhook Flask: TCP porta 5000 (túnel ngrok)
2026-07-02 10:36:56 | INFO     | utils.network_info | ============================================================
2026-07-02 10:36:56 | INFO     | __main__ | [APP] Thread do Telegram iniciada.
2026-07-02 10:36:56 | INFO     | __main__ | [APP] Flask iniciando na porta 5000...
2026-07-02 10:36:56 | INFO     | __main__ | [APP] Webhook WhatsApp: POST http://0.0.0.0:5000/whatsapp
2026-07-02 10:36:56 | INFO     | __main__ | [APP] Health check:     GET  http://0.0.0.0:5000/health
2026-07-02 10:36:57 | INFO     | controllers.telegram_controller | [TELEGRAM] Polling iniciado...
2026-07-02 10:36:57 | ERROR    | __main__ | [TELEGRAM] Erro na thread: The token `123456789:ABCDEFxxxxxxxxxxxxxxxxxxxxxxxxx` was rejected by the server.
2026-07-02 10:38:22 | INFO     | services.bot_service | [BOT] Mensagens carregadas: pt, en
2026-07-02 10:38:22 | INFO     | utils.network_info | ============================================================
2026-07-02 10:38:22 | INFO     | utils.network_info | [REDE] IP do servidor: 192.168.15.40
2026-07-02 10:38:22 | INFO     | utils.network_info | [REDE] Protocolo de transporte: TCP/IP
2026-07-02 10:38:22 | INFO     | utils.network_info | [REDE] WhatsApp: HTTPS via Twilio  → TCP porta 443
2026-07-02 10:38:22 | INFO     | utils.network_info | [REDE] Telegram: HTTPS via Bot API  → TCP porta 443 (polling)
2026-07-02 10:38:22 | INFO     | utils.network_info | [REDE] Webhook Flask: TCP porta 5000 (túnel ngrok)
2026-07-02 10:38:22 | INFO     | utils.network_info | ============================================================
2026-07-02 10:38:22 | INFO     | __main__ | [APP] Thread do Telegram iniciada.
2026-07-02 10:38:22 | INFO     | __main__ | [APP] Flask iniciando na porta 5000...
2026-07-02 10:38:22 | INFO     | __main__ | [APP] Webhook WhatsApp: POST http://0.0.0.0:5000/whatsapp
2026-07-02 10:38:22 | INFO     | __main__ | [APP] Health check:     GET  http://0.0.0.0:5000/health
2026-07-02 10:38:23 | INFO     | controllers.telegram_controller | [TELEGRAM] Polling iniciado...
2026-07-02 10:38:24 | ERROR    | __main__ | [TELEGRAM] Erro na thread: The token `123456789:ABCDEFxxxxxxxxxxxxxxxxxxxxxxxxx` was rejected by the server.
2026-07-02 10:43:03 | INFO     | services.bot_service | [BOT] Mensagens carregadas: pt, en
2026-07-02 10:43:03 | INFO     | utils.network_info | ============================================================
2026-07-02 10:43:03 | INFO     | utils.network_info | [REDE] IP do servidor: 192.168.15.40
2026-07-02 10:43:03 | INFO     | utils.network_info | [REDE] Protocolo de transporte: TCP/IP
2026-07-02 10:43:03 | INFO     | utils.network_info | [REDE] WhatsApp: HTTPS via Twilio  → TCP porta 443
2026-07-02 10:43:03 | INFO     | utils.network_info | [REDE] Telegram: HTTPS via Bot API  → TCP porta 443 (polling)
2026-07-02 10:43:03 | INFO     | utils.network_info | [REDE] Webhook Flask: TCP porta 5000 (túnel ngrok)
2026-07-02 10:43:03 | INFO     | utils.network_info | ============================================================
2026-07-02 10:43:03 | INFO     | __main__ | [APP] Thread do Telegram iniciada.
2026-07-02 10:43:03 | INFO     | __main__ | [APP] Flask iniciando na porta 5000...
